name,owner_login,stargazerCount,forkCount,createdAt,updatedAt,primaryLanguage,pullRequests_totalCount,releases_totalCount,issues_closed_totalCount,issues_totalCount,diskUsage,defaultBranch_name,defaultBranch_commit_history_totalCount,license_spdxId,license_name,topics
build-your-own-x,codecrafters-io,469108,43972,2018-05-09T12:03:18Z,2026-02-26T00:44:46Z,Markdown,155,0,653,886,1201,,,,,
awesome,sindresorhus,440707,33330,2014-07-11T13:42:37Z,2026-02-26T00:44:26Z,,693,0,347,363,1520,,,CC0-1.0,Creative Commons Zero v1.0 Universal,
freeCodeCamp,freeCodeCamp,437530,43445,2014-12-24T17:49:19Z,2026-02-26T00:42:39Z,TypeScript,27664,0,20920,21126,552632,,,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",
public-apis,public-apis,400267,42842,2016-03-20T23:49:42Z,2026-02-26T00:42:37Z,Python,1872,0,827,832,5012,,,MIT,MIT License,
free-programming-books,EbookFoundation,383105,65937,2013-10-11T06:50:37Z,2026-02-26T00:43:08Z,Python,7327,0,1226,1262,21016,,,CC-BY-4.0,Creative Commons Attribution 4.0 International,
developer-roadmap,kamranahmedse,349783,43715,2017-03-15T13:45:52Z,2026-02-26T00:43:40Z,TypeScript,4046,1,3048,3075,359284,,,NOASSERTION,Other,
coding-interview-university,jwasham,337433,81655,2016-06-06T02:34:12Z,2026-02-26T00:42:43Z,,415,0,454,525,22700,,,CC-BY-SA-4.0,Creative Commons Attribution Share Alike 4.0 International,
system-design-primer,donnemartin,336664,54600,2017-02-26T16:15:28Z,2026-02-26T00:37:56Z,Python,203,0,110,358,11243,,,NOASSERTION,Other,
awesome-python,vinta,284613,27245,2014-06-27T21:00:06Z,2026-02-26T00:44:15Z,Python,637,0,0,0,4783,,,NOASSERTION,Other,
996.ICU,996icu,275550,20958,2019-03-26T07:31:14Z,2026-02-25T20:43:34Z,,1072,0,0,0,189351,,,NOASSERTION,Other,
